"treatment_ordered","treat1","treat2_felon","treat_combined","registered","v_pres_general_12","v08","returned","returntoprison","ageonelecday","f_contype","f_daysserved","timesincerelease"
1,0,0,0,0,"0",NA,0,0,49.770206451416,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",357.669403076172,2.65067386627197
3,0,1,1,0,"0",0,0,0,33.8004264831543,"BURGLARY, THIRD DEGREE",594.564453125,0.677026510238647
1,0,0,0,0,"0",1,0,0,22.8493041992188,"ASSAULT, SECOND DEGREE",286.603332519531,0.633060693740845
1,0,0,0,0,"0",0,0,0,41.5086631774902,"CRIM VIOL OF PROTECTIVE ORDER",580.255065917969,1.54425585269928
2,1,0,1,0,"0",0,0,0,27.7358932495117,"BURGLARY, THIRD DEGREE",813.326171875,0.649589598178864
1,0,0,0,0,"0",0,0,0,26.1290664672852,"POSSESSION OF NARCOTICS",254.892013549805,0.819623231887817
3,0,1,1,0,"0",0,1,0,47.1123542785645,"CRIM VIOL OF PROTECTIVE ORDER",223.168731689453,1.58624589443207
1,0,0,0,0,"0",NA,0,0,28.924747467041,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",325.404113769531,3.30145525932312
1,0,0,0,0,"0",0,0,0,47.7304496765137,"BURGLARY, THIRD DEGREE",-0.275939911603928,1.36553692817688
1,0,0,0,0,"0",0,0,1,23.099889755249,"CRIMINAL MISCHIEF, FIRST DEGREE",23.8237190246582,3.16837978363037
2,1,0,1,0,"0",0,0,0,25.5422439575195,"BURGLARY, THIRD DEGREE",130.033767700195,2.62646102905273
1,0,0,0,0,"0",0,0,0,47.5125579833984,"POSSESSION OF NARCOTICS",237.31575012207,0.310619652271271
1,0,0,0,0,"0",0,0,0,32.3984413146973,"LARCENY, THIRD DEGREE",497.401550292969,2.02863383293152
1,0,0,0,0,"0",0,0,0,34.7507705688477,"FORGERY, SECOND DEGREE",522.410949707031,1.54831516742706
3,0,1,1,0,"0",0,1,0,48.0191040039062,"BURGLARY, THIRD DEGREE",337.991333007812,1.2282520532608
1,0,0,0,0,"0",0,0,0,57.2539825439453,"CRIM VIOL OF PROTECTIVE ORDER",213.906860351562,1.95236599445343
1,0,0,0,0,"0",NA,0,0,35.6180381774902,"POSSESSION OF NARCOTICS",328.381225585938,3.19183897972107
1,0,0,0,0,"0",0,0,0,34.0519065856934,"POSSESSION OF NARCOTICS",147.150115966797,2.76513028144836
3,0,1,1,0,"0",NA,1,0,20.5889339447021,"POSSESSION OF NARCOTICS",135.983825683594,0.578978657722473
2,1,0,1,0,"0",NA,0,0,26.435510635376,"ROBBERY, THIRD DEGREE",179.682479858398,3.25752353668213
1,0,0,0,0,"0",0,0,0,39.2313346862793,"LARCENY, FIRST DEGREE",353.558349609375,1.01650536060333
3,0,1,1,0,"0",NA,1,0,33.1508102416992,"POSSESSION OF NARCOTICS",815.179809570312,3.25806736946106
2,1,0,1,0,"0",0,1,0,22.932991027832,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",375.460815429688,1.31295239925385
1,0,0,0,1,"1",0,0,0,34.4295845031738,"BURGLARY, THIRD DEGREE",621.667114257812,1.09533727169037
1,0,0,0,0,"0",0,0,0,24.40696144104,"LARCENY, THIRD DEGREE",121.087707519531,2.82776856422424
1,0,0,0,0,"0",0,0,0,31.6281642913818,"CRIM VIOL OF PROTECTIVE ORDER",42.1539039611816,0.99748170375824
1,0,0,0,1,"0",NA,0,0,22.2761669158936,"BURGLARY, THIRD DEGREE",559.66650390625,2.4880850315094
3,0,1,1,0,"0",NA,1,0,51.5911178588867,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",663.92822265625,2.32721662521362
1,0,0,0,0,"0",0,0,0,33.8891067504883,"BURGLARY, THIRD DEGREE",98.3958587646484,3.06772994995117
1,0,0,0,0,"0",0,0,0,28.5737972259521,"SALE OF CONTROLLED SUBSTANCE",255.317459106445,2.30202698707581
1,0,0,0,0,"0",0,0,0,47.2019577026367,"FORGERY, SECOND DEGREE",246.601715087891,1.27518701553345
1,0,0,0,0,"0",0,0,0,25.7955017089844,"LARCENY, SECOND DEGREE",191.917358398438,0.78822261095047
1,0,0,0,0,"0",0,0,0,31.2215442657471,"CRIM VIOL OF PROTECTIVE ORDER",132.741348266602,0.871341526508331
1,0,0,0,0,"0",0,0,0,51.2107238769531,"BURGLARY, THIRD DEGREE",247.715606689453,1.69131135940552
3,0,1,1,0,"0",0,0,0,23.5469570159912,"BURGLARY, THIRD DEGREE",285.011016845703,1.81862366199493
2,1,0,1,0,"0",NA,1,0,57.1278419494629,"LARCENY, THIRD DEGREE",573.851623535156,2.85374021530151
1,0,0,0,0,"0",0,0,0,26.3554592132568,"CRIM VIOL OF PROTECTIVE ORDER",79.3997955322266,2.52236223220825
3,0,1,1,0,"0",0,1,0,50.7162017822266,"FAILURE TO APPEAR, FIRST DEGREE",189.721298217773,1.37553811073303
1,0,0,0,0,"0",0,0,0,40.4405288696289,"BURGLARY, THIRD DEGREE",159.821762084961,1.79800522327423
3,0,1,1,0,"0",0,0,0,41.5613021850586,"POSSESSION OF NARCOTICS",213.71760559082,2.92460227012634
1,0,0,0,0,"0",NA,0,0,20.9484920501709,"SALE OF CONTROLLED SUBSTANCE",225.887603759766,2.31698107719421
1,0,0,0,0,"0",NA,0,0,47.2117881774902,"CRIM VIOL OF PROTECTIVE ORDER",534.59228515625,2.9508204460144
3,0,1,1,0,"0",0,1,0,37.3319244384766,"LARCENY, THIRD DEGREE",178.436004638672,2.13204312324524
3,0,1,1,1,"0",0,0,0,23.9302024841309,"CARRYING WEAPONS WITHOUT A PERMIT",353.048736572266,1.71503722667694
2,1,0,1,0,"0",0,1,0,49.5767593383789,"CRIM VIOL OF PROTECTIVE ORDER",119.980346679688,3.25487780570984
2,1,0,1,1,"1",NA,0,0,41.3048057556152,"CRIM VIOL OF PROTECTIVE ORDER",613.555847167969,2.98839259147644
2,1,0,1,0,"0",NA,0,0,28.9011764526367,"ROBBERY, SECOND DEGREE",568.861633300781,2.26408624649048
1,0,0,0,0,"0",0,0,0,43.9419288635254,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",396.630828857422,0.765232622623444
1,0,0,0,0,"0",0,0,0,56.1931457519531,"LARCENY, SECOND DEGREE",159.326080322266,1.21629679203033
2,1,0,1,0,"0",0,0,0,30.1805896759033,"SALE OF CONTROLLED SUBSTANCE",155.672271728516,2.33190846443176
